country,date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,2000-04-01,2.5,1.0,2.5,0.9960159362549802,-0.3984063745019806
Argentina,2001-04-01,2.5,1.0,2.5,0.984251968503937,-1.5748031496062964
Argentina,2002-04-01,2.5,3.13,0.78,1.004016064257028,-67.92280944865725
Argentina,2003-04-01,4.1,2.88,1.4,1.5129151291512914,-47.46822468224682
Argentina,2004-05-01,4.36,2.95,1.48,1.503448275862069,-49.03565166569258
Argentina,2005-06-01,4.75,2.897,1.6396272005522956,1.5522875816993464,-46.417411746657
Argentina,2006-01-01,4.75,3.0638,1.550362295188981,1.507936507936508,-50.782149359079966
Argentina,2006-05-01,7.0,3.0565,2.290201210534925,2.258064516129032,-26.122541595647576
Argentina,2007-01-01,8.25,3.08875,2.670983407527317,2.562111801242236,-17.0502047351765
Argentina,2007-06-01,8.25,3.0915,2.668607472100922,2.4193548387096775,-21.741716360676776
Argentina,2008-06-01,11.0,3.0195,3.642987249544627,3.081232492997199,2.0444607715581764
Argentina,2009-07-01,11.5,3.81125,3.0173827484421123,3.2212885154061626,-15.479474833554274
Argentina,2010-01-01,7.0,3.7985,1.842832697117283,1.9553072625698324,-48.52422633750606
Argentina,2010-07-01,14.0,3.93375,3.558945027009851,3.75,-4.671115347950428
Argentina,2011-07-01,20.0,4.1325,4.839685420447671,4.920049200492004,19.057451917531854
Argentina,2012-01-01,20.0,4.3135,4.636606004404776,4.765058777000014,10.468500683899705
Argentina,2012-07-01,19.0,4.56625,4.160963591568573,4.3905257076834205,-3.8483283288602177
Argentina,2013-01-01,19.0,4.9765,3.8179443383904355,4.3504185846829015,-12.580757868323078
Argentina,2013-07-01,21.0,5.4125,3.8799076212471135,4.6086320409656185,-14.852063908256463
Argentina,2014-01-01,21.0,6.92125,3.0341340075853354,4.541358803387998,-34.385280066635396
Argentina,2014-07-01,21.0,8.16875,2.5707727620504977,4.37956204379562,-46.38638661000005
Argentina,2015-01-01,28.0,8.61,3.2520325203252036,5.845511482254698,-32.107880577761925
Argentina,2015-07-01,28.0,9.135,3.0651340996168583,5.845511482254698,-36.009726521568716
Argentina,2016-01-01,33.0,13.80925,2.3897025544472004,6.69371196754564,-51.52733155279512
Australia,2000-04-01,2.59,1.68,1.54,1.0318725099601593,-38.579017264276224
Australia,2001-04-01,3.0,1.98,1.52,1.1811023622047243,-40.34836554521595
Australia,2002-04-01,3.0,1.86,1.62,1.2048192771084336,-35.22477004793368
Australia,2003-04-01,3.0,1.61,1.8,1.1070110701107012,-31.241548440329126
Australia,2004-05-01,3.25,1.43,2.27,1.120689655172414,-21.630094043887137
Australia,2005-06-01,3.25,1.3015,2.4971187091817133,1.0620915032679739,-18.394813425434208
Australia,2006-01-01,3.25,1.3308,2.442140066125639,1.0317460317460319,-22.471743932519395
Australia,2006-05-01,3.25,1.33253,2.4389694791111647,1.0483870967741935,-21.323565189962434
Australia,2007-01-01,3.45,1.266865,2.723257805685689,1.0714285714285714,-15.42677622094134
Australia,2007-06-01,3.45,1.17,2.948717948717949,1.0117302052785924,-13.527332882171583
Australia,2008-06-01,3.45,1.026,3.3625730994152048,0.9663865546218489,-5.8102773273051795
Australia,2009-07-01,4.34,1.2869,3.3724454114538815,1.215686274509804,-5.533741976081741
Australia,2010-01-01,4.35,1.09355,3.9778702391294405,1.2150837988826815,11.113693830431304
Australia,2010-07-01,4.35,1.1337225780851425,3.8369174999999998,1.1651785714285714,2.774575892857145
Australia,2011-07-01,4.56,0.9223815892634784,4.943724,1.121771217712177,21.61682656826567
Australia,2012-01-01,4.8,0.972337012008362,4.93656,1.1436141064800034,17.614992780935967
Australia,2012-07-01,4.56,0.9743264968090807,4.680156,1.0537261698440208,8.149185441941075
Australia,2013-01-01,4.7,0.9590946146837385,4.900455000000001,1.0761561762110337,12.205423712643437
Australia,2013-07-01,5.035,1.0898588632772057,4.61986425,1.1049743964886614,1.386925749817114
Australia,2014-01-01,5.05,1.1288592876897894,4.4735425,1.0920886646242567,-3.2573256442602117
Australia,2014-07-01,5.1,1.0593781450288682,4.814144999999999,1.0636079249217936,0.3992700729926968
